INFO:root:         3089015 function calls (3068914 primitive calls) in 7.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7510    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     9012    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
       34    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/gzip.py:438(read)
     1502    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/_lib/_util.py:174(check_random_state)
      501    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     4000    0.001    0.000    0.001    0.000 {built-in method builtins.all}
     6000    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2040(_sum_dispatcher)
        3    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/model_selection/_split.py:2123(<genexpr>)
        4    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/__init__.py:181(safe_indexing)
     1001    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/validation.py:763(check_random_state)
     2001    0.001    0.000    0.001    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
     1500    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1856(shape)
     4506    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
     6000    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1644(_ravel_dispatcher)
     1798    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
